no_of_children,no_of_week_nights,arrival_date,avg_price_per_room,booking_status
0.0,1.0,28.0,94.5,0.0
0.0,2.0,26.0,93.6,0.0
0.0,4.0,20.0,120.6,1.0
0.0,3.0,6.0,99.3,0.0
2.0,1.0,2.0,258.0,0.0
0.0,3.0,3.0,120.12,0.0
0.0,2.0,24.0,95.0,0.0
0.0,1.0,18.0,75.0,0.0
0.0,3.0,5.0,157.5,0.0
0.0,2.0,3.0,97.7,0.0
0.0,2.0,15.0,142.0,1.0
0.0,1.0,6.0,80.0,0.0
0.0,2.0,25.0,85.5,0.0
0.0,3.0,25.0,100.0,0.0
0.0,0.0,14.0,88.0,0.0
0.0,1.0,29.0,122.85,0.0
0.0,2.0,3.0,100.0,1.0
0.0,3.0,25.0,75.0,0.0
0.0,4.0,9.0,116.8,0.0
0.0,1.0,31.0,121.5,0.0
0.0,2.0,27.0,111.9,0.0
0.0,5.0,28.0,121.55,1.0
0.0,5.0,29.0,75.0,0.0
2.0,2.0,1.0,159.3,1.0
0.0,5.0,11.0,132.3,1.0
0.0,0.0,25.0,88.0,0.0
0.0,4.0,14.0,98.82,0.0
0.0,2.0,4.0,98.3,0.0
0.0,0.0,17.0,150.0,0.0
0.0,3.0,4.0,96.05,0.0
0.0,2.0,15.0,130.0,1.0
0.0,1.0,10.0,95.0,0.0
0.0,3.0,9.0,113.56,0.0
0.0,3.0,5.0,101.58,0.0
0.0,2.0,18.0,105.3,0.0
0.0,1.0,9.0,115.8,0.0
0.0,1.0,19.0,149.4,0.0
0.0,5.0,30.0,111.59,1.0
1.0,2.0,4.0,130.5,0.0
0.0,2.0,18.0,115.0,1.0
0.0,4.0,13.0,90.95,0.0
0.0,3.0,17.0,76.08,0.0
2.0,3.0,22.0,156.9,0.0
0.0,0.0,23.0,85.5,0.0
0.0,2.0,13.0,159.3,0.0
0.0,4.0,13.0,74.8,0.0
0.0,1.0,31.0,95.0,0.0
0.0,3.0,8.0,107.0,0.0
0.0,3.0,16.0,64.0,0.0
0.0,4.0,2.0,82.95,0.0
0.0,3.0,21.0,155.0,0.0
0.0,1.0,30.0,101.68,0.0
0.0,1.0,5.0,94.5,0.0
0.0,2.0,30.0,117.9,1.0
0.0,0.0,27.0,127.0,0.0
0.0,3.0,16.0,116.1,0.0
0.0,3.0,30.0,117.9,0.0
2.0,2.0,26.0,184.24,1.0
0.0,2.0,13.0,155.7,0.0
0.0,5.0,22.0,135.76,1.0
1.0,5.0,12.0,102.83,0.0
0.0,1.0,29.0,65.0,1.0
0.0,3.0,14.0,103.0,0.0
0.0,3.0,1.0,106.2,1.0
0.0,2.0,16.0,58.5,0.0
0.0,3.0,10.0,73.95,1.0
0.0,3.0,5.0,105.3,0.0
0.0,0.0,24.0,133.2,0.0
0.0,2.0,30.0,85.5,0.0
0.0,1.0,3.0,112.0,1.0
2.0,2.0,14.0,190.8,1.0
0.0,3.0,5.0,110.0,0.0
0.0,4.0,13.0,91.48,0.0
0.0,2.0,20.0,135.0,0.0
0.0,2.0,17.0,129.0,0.0
0.0,4.0,28.0,70.55,1.0
0.0,4.0,19.0,75.0,0.0
0.0,4.0,29.0,72.25,0.0
0.0,1.0,9.0,155.0,0.0
1.0,0.0,25.0,121.5,1.0
0.0,5.0,28.0,90.95,0.0
0.0,2.0,22.0,109.65,0.0
0.0,4.0,15.0,142.72,1.0
0.0,2.0,9.0,90.0,0.0
0.0,2.0,17.0,75.0,1.0
0.0,2.0,18.0,111.0,1.0
0.0,2.0,30.0,86.7,0.0
0.0,0.0,28.0,117.9,0.0
0.0,4.0,4.0,101.58,0.0
0.0,2.0,8.0,58.9,0.0
0.0,1.0,8.0,120.0,0.0
0.0,3.0,7.0,107.1,1.0
0.0,1.0,2.0,126.9,0.0
0.0,3.0,29.0,139.5,1.0
0.0,3.0,4.0,80.75,0.0
0.0,2.0,17.0,109.0,1.0
0.0,1.0,6.0,104.0,0.0
0.0,3.0,1.0,65.0,0.0
0.0,3.0,24.0,140.4,0.0
0.0,3.0,17.0,75.0,0.0
0.0,1.0,14.0,94.5,1.0
0.0,0.0,5.0,109.0,0.0
0.0,2.0,12.0,105.0,0.0
0.0,2.0,17.0,107.95,0.0
0.0,2.0,7.0,215.6,0.0
0.0,1.0,1.0,85.5,0.0
0.0,2.0,12.0,105.3,0.0
0.0,1.0,2.0,1.0,0.0
0.0,2.0,15.0,156.0,1.0
0.0,2.0,16.0,73.15,0.0
0.0,2.0,19.0,110.0,1.0
1.0,0.0,13.0,87.4,0.0
0.0,2.0,15.0,120.0,1.0
0.0,2.0,16.0,79.2,1.0
0.0,3.0,30.0,90.95,0.0
0.0,4.0,18.0,91.48,0.0
1.0,1.0,5.0,150.0,1.0
0.0,1.0,22.0,89.0,0.0
0.0,4.0,17.0,91.43,0.0
0.0,2.0,20.0,140.0,0.0
1.0,5.0,24.0,87.78,0.0
0.0,2.0,21.0,115.0,1.0
0.0,3.0,9.0,80.85,0.0
0.0,3.0,31.0,82.45,0.0
0.0,1.0,11.0,108.0,1.0
0.0,1.0,2.0,96.3,0.0
0.0,5.0,22.0,99.45,1.0
0.0,2.0,13.0,140.4,0.0
0.0,3.0,8.0,72.25,0.0
0.0,4.0,15.0,126.0,0.0
0.0,3.0,19.0,78.0,1.0
0.0,2.0,6.0,146.6,0.0
0.0,2.0,10.0,118.8,1.0
0.0,1.0,6.0,145.0,1.0
0.0,4.0,6.0,84.58,1.0
0.0,2.0,25.0,130.0,1.0
0.0,10.0,3.0,118.88,1.0
0.0,2.0,30.0,101.52,0.0
0.0,1.0,11.0,100.0,1.0
0.0,1.0,20.0,58.0,0.0
0.0,4.0,23.0,61.5,0.0
0.0,2.0,26.0,107.0,1.0
0.0,4.0,24.0,87.3,0.0
0.0,2.0,16.0,76.5,1.0
0.0,2.0,16.0,63.75,1.0
0.0,2.0,13.0,95.0,1.0
0.0,1.0,19.0,75.0,0.0
0.0,3.0,8.0,70.0,1.0
0.0,3.0,2.0,101.58,0.0
0.0,3.0,21.0,85.0,0.0
0.0,4.0,3.0,98.39,0.0
0.0,3.0,22.0,106.07,0.0
0.0,1.0,18.0,105.0,0.0
0.0,1.0,22.0,145.0,0.0
0.0,1.0,13.0,106.03,1.0
0.0,2.0,13.0,114.3,0.0
0.0,1.0,5.0,88.0,0.0
0.0,2.0,15.0,89.25,0.0
1.0,5.0,20.0,86.32,0.0
0.0,3.0,13.0,90.0,0.0
0.0,5.0,22.0,55.96,0.0
0.0,2.0,8.0,109.0,0.0
0.0,1.0,1.0,86.0,0.0
0.0,5.0,5.0,118.95,0.0
0.0,2.0,10.0,130.0,0.0
0.0,3.0,14.0,90.56,0.0
0.0,2.0,1.0,87.3,0.0
2.0,2.0,27.0,177.65,1.0
2.0,2.0,19.0,200.75,0.0
1.0,2.0,18.0,127.0,0.0
0.0,2.0,5.0,72.9,1.0
0.0,1.0,7.0,159.3,1.0
1.0,3.0,12.0,135.15,0.0
0.0,2.0,28.0,90.0,0.0
0.0,0.0,18.0,114.0,0.0
1.0,1.0,21.0,125.1,0.0
0.0,6.0,14.0,95.13,0.0
0.0,2.0,29.0,105.84,1.0
0.0,3.0,26.0,102.0,1.0
0.0,2.0,2.0,74.8,0.0
0.0,0.0,24.0,94.5,1.0
0.0,4.0,16.0,120.6,0.0
0.0,2.0,9.0,139.33,0.0
0.0,2.0,3.0,105.0,0.0
0.0,2.0,14.0,100.0,0.0
0.0,0.0,8.0,80.3,0.0
0.0,2.0,2.0,100.0,0.0
0.0,3.0,24.0,105.3,0.0
0.0,4.0,31.0,112.8,1.0
0.0,2.0,15.0,151.0,1.0
0.0,3.0,9.0,91.0,0.0
0.0,1.0,13.0,146.7,1.0
0.0,3.0,2.0,58.4,0.0
0.0,4.0,26.0,80.75,1.0
0.0,1.0,21.0,76.5,0.0
0.0,3.0,7.0,140.13,0.0
0.0,4.0,15.0,76.0,0.0
0.0,1.0,16.0,200.0,0.0
0.0,2.0,16.0,101.5,1.0
0.0,3.0,18.0,108.0,0.0
0.0,3.0,23.0,189.0,0.0
0.0,1.0,11.0,166.0,0.0
0.0,1.0,16.0,67.5,0.0
0.0,3.0,14.0,78.54,0.0
0.0,2.0,6.0,152.1,1.0
0.0,1.0,15.0,115.0,1.0
0.0,5.0,2.0,66.53,0.0
0.0,3.0,29.0,90.3,1.0
0.0,2.0,15.0,85.0,0.0
0.0,1.0,11.0,75.0,0.0
0.0,4.0,28.0,115.37,1.0
0.0,2.0,25.0,130.0,1.0
0.0,2.0,9.0,126.0,0.0
0.0,0.0,12.0,94.35,0.0
0.0,4.0,6.0,118.46,0.0
0.0,2.0,15.0,90.6,1.0
0.0,1.0,5.0,82.9,0.0
0.0,3.0,18.0,95.33,0.0
0.0,5.0,21.0,135.64,0.0
0.0,1.0,18.0,122.4,0.0
0.0,3.0,9.0,116.1,1.0
0.0,4.0,28.0,62.18,1.0
0.0,4.0,9.0,63.75,1.0
0.0,4.0,7.0,118.8,1.0
0.0,2.0,10.0,167.0,0.0
2.0,2.0,13.0,187.85,0.0
2.0,2.0,24.0,108.38,1.0
0.0,2.0,28.0,128.7,1.0
0.0,3.0,17.0,80.33,0.0
0.0,1.0,22.0,140.0,1.0
1.0,1.0,8.0,76.5,0.0
0.0,1.0,1.0,105.3,0.0
0.0,1.0,3.0,87.3,1.0
0.0,3.0,1.0,110.0,1.0
0.0,1.0,4.0,83.0,0.0
0.0,2.0,13.0,99.45,0.0
1.0,1.0,27.0,104.5,0.0
0.0,6.0,16.0,92.54,0.0
0.0,3.0,13.0,95.0,0.0
0.0,2.0,15.0,130.0,1.0
0.0,1.0,2.0,63.0,0.0
0.0,2.0,28.0,109.8,1.0
0.0,0.0,16.0,103.0,0.0
0.0,1.0,20.0,130.0,0.0
0.0,2.0,23.0,117.0,1.0
0.0,4.0,29.0,60.5,0.0
0.0,1.0,30.0,112.2,0.0
0.0,3.0,1.0,135.9,1.0
0.0,0.0,25.0,151.0,1.0
2.0,2.0,16.0,239.0,0.0
0.0,1.0,26.0,59.09,0.0
0.0,5.0,9.0,103.09,1.0
0.0,1.0,28.0,87.0,0.0
0.0,0.0,17.0,137.0,1.0
0.0,2.0,24.0,109.0,0.0
0.0,1.0,6.0,115.0,1.0
0.0,3.0,17.0,99.45,0.0
0.0,2.0,18.0,115.0,1.0
0.0,2.0,22.0,130.0,0.0
0.0,0.0,22.0,65.0,0.0
0.0,2.0,17.0,75.0,1.0
1.0,2.0,8.0,132.9,1.0
0.0,0.0,18.0,120.0,0.0
0.0,2.0,11.0,79.2,1.0
0.0,1.0,28.0,159.3,1.0
0.0,2.0,15.0,130.0,1.0
0.0,3.0,6.0,90.0,0.0
0.0,2.0,27.0,140.4,0.0
0.0,1.0,11.0,75.0,0.0
0.0,2.0,17.0,109.0,1.0
0.0,1.0,25.0,94.5,1.0
0.0,1.0,15.0,75.0,0.0
0.0,2.0,23.0,75.0,0.0
0.0,1.0,10.0,76.67,0.0
0.0,2.0,2.0,126.0,0.0
0.0,1.0,23.0,85.5,0.0
0.0,3.0,18.0,140.7,1.0
0.0,2.0,26.0,103.7,0.0
0.0,1.0,8.0,142.0,0.0
1.0,5.0,21.0,103.7,0.0
0.0,2.0,6.0,110.0,0.0
0.0,3.0,10.0,75.0,0.0
0.0,1.0,25.0,137.7,0.0
0.0,1.0,7.0,87.3,0.0
0.0,2.0,14.0,101.5,0.0
0.0,1.0,24.0,97.0,0.0
0.0,1.0,15.0,150.3,0.0
0.0,4.0,29.0,82.45,0.0
0.0,1.0,1.0,103.0,0.0
0.0,6.0,5.0,145.0,1.0
0.0,1.0,11.0,145.0,0.0
0.0,2.0,14.0,134.85,0.0
1.0,1.0,22.0,168.25,0.0
0.0,1.0,28.0,60.0,1.0
0.0,3.0,13.0,76.0,0.0
0.0,2.0,10.0,63.5,0.0
0.0,0.0,18.0,95.0,0.0
0.0,2.0,3.0,90.95,0.0
0.0,2.0,16.0,98.4,0.0
0.0,1.0,22.0,135.9,0.0
0.0,2.0,16.0,130.0,0.0
0.0,1.0,19.0,81.9,0.0
0.0,4.0,22.0,78.85,0.0
0.0,3.0,26.0,141.3,1.0
0.0,1.0,9.0,70.0,0.0
0.0,3.0,13.0,170.1,0.0
0.0,0.0,23.0,115.0,1.0
2.0,5.0,29.0,199.0,0.0
0.0,2.0,10.0,82.45,0.0
0.0,3.0,20.0,192.86,0.0
0.0,2.0,25.0,185.0,0.0
0.0,6.0,10.0,68.07,0.0
0.0,3.0,4.0,118.8,0.0
0.0,2.0,27.0,104.4,1.0
0.0,1.0,23.0,65.0,0.0
0.0,3.0,3.0,71.1,1.0
0.0,1.0,21.0,95.0,0.0
0.0,11.0,13.0,116.62,1.0
0.0,4.0,7.0,136.0,0.0
2.0,2.0,2.0,147.9,1.0
0.0,0.0,18.0,123.7,0.0
0.0,1.0,19.0,135.9,1.0
0.0,2.0,16.0,109.0,0.0
0.0,1.0,20.0,186.0,0.0
0.0,3.0,26.0,115.6,1.0
2.0,1.0,14.0,221.0,1.0
0.0,3.0,15.0,65.0,0.0
0.0,1.0,19.0,80.0,0.0
1.0,4.0,23.0,73.83,0.0
0.0,1.0,18.0,67.0,0.0
0.0,2.0,4.0,80.3,0.0
0.0,1.0,30.0,85.0,0.0
1.0,3.0,23.0,152.1,1.0
0.0,2.0,9.0,89.25,0.0
0.0,4.0,28.0,110.0,0.0
0.0,2.0,13.0,95.0,1.0
0.0,1.0,18.0,79.0,0.0
0.0,1.0,12.0,80.0,1.0
0.0,2.0,1.0,102.85,1.0
0.0,2.0,9.0,90.0,1.0
0.0,2.0,29.0,62.37,0.0
0.0,1.0,8.0,98.0,0.0
0.0,3.0,17.0,117.67,1.0
0.0,1.0,18.0,141.0,0.0
1.0,3.0,26.0,156.61,1.0
0.0,3.0,3.0,152.1,1.0
0.0,1.0,6.0,105.3,1.0
0.0,3.0,30.0,119.85,0.0
0.0,2.0,4.0,97.2,0.0
0.0,1.0,13.0,116.1,0.0
0.0,2.0,29.0,150.45,1.0
0.0,1.0,20.0,71.0,0.0
0.0,2.0,7.0,60.0,0.0
0.0,1.0,5.0,89.0,0.0
0.0,0.0,23.0,115.0,1.0
0.0,1.0,2.0,100.0,0.0
0.0,3.0,14.0,75.9,1.0
0.0,2.0,2.0,65.0,0.0
0.0,2.0,29.0,104.55,0.0
0.0,2.0,14.0,115.0,1.0
0.0,1.0,2.0,187.0,1.0
0.0,1.0,4.0,115.0,0.0
0.0,4.0,27.0,84.43,1.0
0.0,3.0,8.0,90.95,1.0
0.0,3.0,24.0,208.0,0.0
0.0,4.0,3.0,97.18,1.0
0.0,4.0,21.0,79.11,0.0
0.0,1.0,8.0,120.0,0.0
0.0,3.0,20.0,126.0,0.0
0.0,2.0,16.0,91.0,1.0
0.0,5.0,6.0,137.0,1.0
0.0,4.0,16.0,67.32,0.0
0.0,1.0,23.0,81.62,0.0
0.0,3.0,24.0,123.66,0.0
0.0,1.0,6.0,94.5,0.0
0.0,4.0,22.0,96.3,1.0
0.0,1.0,13.0,88.01,0.0
0.0,3.0,10.0,81.9,0.0
0.0,4.0,11.0,119.85,0.0
0.0,1.0,23.0,83.5,0.0
0.0,1.0,1.0,67.0,0.0
0.0,2.0,19.0,156.0,0.0
0.0,1.0,13.0,85.0,0.0
0.0,5.0,4.0,126.75,1.0
0.0,1.0,6.0,115.0,1.0
0.0,1.0,16.0,107.1,1.0
0.0,1.0,14.0,120.0,0.0
0.0,1.0,19.0,93.6,0.0
0.0,1.0,8.0,120.0,0.0
0.0,1.0,8.0,90.0,0.0
0.0,5.0,6.0,137.0,1.0
1.0,3.0,31.0,106.43,1.0
0.0,3.0,31.0,87.78,0.0
0.0,2.0,18.0,101.5,0.0
0.0,1.0,23.0,85.5,1.0
0.0,3.0,13.0,95.0,0.0
0.0,2.0,1.0,103.7,0.0
0.0,1.0,26.0,65.0,0.0
0.0,6.0,18.0,100.12,1.0
0.0,3.0,11.0,156.25,0.0
0.0,2.0,13.0,101.0,1.0
0.0,3.0,4.0,161.1,0.0
0.0,3.0,8.0,83.8,0.0
1.0,1.0,18.0,168.0,0.0
0.0,1.0,27.0,58.0,0.0
0.0,1.0,8.0,94.5,0.0
0.0,4.0,9.0,96.3,0.0
0.0,1.0,14.0,76.5,0.0
0.0,3.0,8.0,78.0,0.0
0.0,1.0,26.0,112.59,1.0
2.0,1.0,12.0,187.04,1.0
0.0,1.0,11.0,169.0,0.0
0.0,7.0,5.0,46.63,0.0
0.0,3.0,25.0,100.0,0.0
0.0,3.0,19.0,85.5,0.0
0.0,2.0,15.0,130.0,1.0
0.0,2.0,8.0,146.7,0.0
0.0,2.0,20.0,73.0,0.0
0.0,2.0,1.0,143.22,0.0
0.0,3.0,22.0,89.25,0.0
0.0,0.0,19.0,85.0,0.0
0.0,0.0,28.0,6.5,0.0
2.0,1.0,8.0,83.03,1.0
0.0,3.0,11.0,91.0,1.0
0.0,2.0,10.0,80.75,0.0
0.0,2.0,4.0,89.0,1.0
0.0,3.0,13.0,105.0,0.0
0.0,5.0,30.0,109.81,0.0
0.0,3.0,5.0,70.88,0.0
0.0,2.0,23.0,83.6,0.0
0.0,1.0,28.0,60.0,1.0
0.0,3.0,7.0,130.0,1.0
0.0,1.0,4.0,95.0,0.0
0.0,1.0,6.0,104.0,0.0
0.0,3.0,11.0,62.0,0.0
0.0,1.0,23.0,95.0,0.0
0.0,1.0,28.0,145.0,0.0
0.0,0.0,17.0,95.0,0.0
0.0,2.0,24.0,95.0,0.0
0.0,4.0,18.0,80.75,0.0
0.0,4.0,30.0,142.2,0.0
0.0,3.0,21.0,128.7,1.0
0.0,3.0,20.0,90.95,0.0
0.0,2.0,18.0,93.6,0.0
0.0,2.0,9.0,60.0,0.0
0.0,3.0,25.0,90.0,0.0
0.0,1.0,5.0,95.4,0.0
0.0,2.0,21.0,160.0,1.0
0.0,1.0,30.0,104.1,1.0
0.0,1.0,6.0,104.0,0.0
0.0,4.0,3.0,109.0,0.0
0.0,4.0,10.0,93.78,1.0
0.0,2.0,14.0,95.0,0.0
0.0,1.0,15.0,140.0,0.0
0.0,3.0,24.0,87.0,0.0
0.0,1.0,5.0,85.85,0.0
0.0,3.0,24.0,99.45,0.0
0.0,4.0,4.0,120.28,0.0
0.0,3.0,14.0,120.0,0.0
0.0,0.0,3.0,77.77,0.0
0.0,3.0,14.0,120.0,0.0
0.0,1.0,10.0,116.1,0.0
0.0,1.0,23.0,189.0,1.0
0.0,1.0,26.0,152.67,1.0
0.0,3.0,4.0,66.31,0.0
0.0,1.0,10.0,95.0,0.0
1.0,3.0,8.0,122.0,1.0
0.0,3.0,17.0,58.0,0.0
0.0,3.0,5.0,89.89,0.0
0.0,2.0,21.0,156.0,0.0
0.0,3.0,24.0,99.45,0.0
1.0,2.0,31.0,172.8,1.0
0.0,3.0,22.0,98.56,0.0
0.0,1.0,10.0,71.1,1.0
0.0,15.0,30.0,128.06,1.0
1.0,1.0,7.0,106.0,0.0
0.0,4.0,27.0,130.61,1.0
0.0,3.0,17.0,105.74,0.0
0.0,2.0,10.0,136.0,0.0
0.0,1.0,8.0,120.0,0.0
0.0,2.0,2.0,74.8,0.0
0.0,2.0,15.0,112.0,1.0
1.0,0.0,21.0,121.5,0.0
0.0,4.0,7.0,70.0,0.0
0.0,1.0,29.0,75.0,0.0
0.0,1.0,2.0,54.0,0.0
0.0,2.0,25.0,100.0,1.0
2.0,9.0,2.0,186.22,1.0
0.0,0.0,13.0,79.2,0.0
0.0,1.0,19.0,103.0,0.0
0.0,2.0,25.0,185.0,0.0
0.0,2.0,20.0,135.0,0.0
0.0,0.0,23.0,115.0,1.0
0.0,2.0,17.0,109.0,1.0
0.0,1.0,26.0,104.0,1.0
0.0,5.0,3.0,130.05,0.0
0.0,3.0,5.0,100.3,1.0
0.0,2.0,15.0,130.0,1.0
0.0,2.0,16.0,109.0,0.0
0.0,2.0,7.0,139.5,1.0
0.0,1.0,3.0,66.0,0.0
0.0,2.0,3.0,106.88,0.0
0.0,2.0,16.0,149.4,0.0
0.0,2.0,26.0,109.35,0.0
0.0,3.0,3.0,89.0,1.0
0.0,1.0,9.0,115.0,0.0
0.0,1.0,16.0,85.5,0.0
0.0,2.0,20.0,90.95,0.0
0.0,1.0,30.0,117.55,0.0
0.0,1.0,19.0,108.0,1.0
0.0,3.0,11.0,139.5,0.0
0.0,3.0,13.0,129.88,1.0
0.0,4.0,30.0,67.0,0.0
0.0,1.0,3.0,129.0,1.0
0.0,5.0,25.0,79.53,1.0
0.0,3.0,22.0,72.25,0.0
0.0,2.0,1.0,80.0,0.0
0.0,5.0,11.0,119.85,0.0
0.0,2.0,2.0,117.0,0.0
0.0,2.0,6.0,29.0,0.0
0.0,2.0,2.0,118.8,0.0
0.0,2.0,30.0,192.03,0.0
0.0,1.0,21.0,168.3,0.0
0.0,1.0,12.0,72.76,0.0
0.0,3.0,8.0,68.0,0.0
0.0,4.0,6.0,89.0,0.0
0.0,5.0,28.0,124.46,0.0
0.0,1.0,13.0,70.33,0.0
0.0,4.0,15.0,170.1,0.0
0.0,2.0,17.0,75.0,1.0
0.0,3.0,29.0,125.25,0.0
0.0,7.0,27.0,55.9,0.0
0.0,2.0,20.0,126.9,1.0
0.0,2.0,26.0,79.0,1.0
0.0,3.0,23.0,94.35,1.0
0.0,2.0,24.0,109.0,1.0
0.0,3.0,15.0,112.2,0.0
0.0,1.0,1.0,109.0,0.0
0.0,2.0,14.0,65.0,0.0
0.0,3.0,28.0,90.0,0.0
0.0,3.0,14.0,85.0,0.0
0.0,4.0,28.0,168.73,0.0
0.0,3.0,8.0,100.38,0.0
0.0,5.0,27.0,99.45,1.0
0.0,1.0,27.0,160.0,0.0
0.0,1.0,2.0,126.0,0.0
0.0,2.0,1.0,96.9,0.0
2.0,4.0,17.0,95.0,0.0
0.0,1.0,5.0,94.5,0.0
0.0,1.0,7.0,98.8,0.0
0.0,1.0,10.0,100.5,0.0
0.0,1.0,29.0,80.75,1.0
0.0,1.0,6.0,104.0,0.0
0.0,2.0,29.0,89.75,0.0
2.0,2.0,25.0,156.0,0.0
0.0,1.0,11.0,136.0,0.0
0.0,2.0,2.0,85.0,0.0
0.0,4.0,14.0,87.54,0.0
0.0,2.0,9.0,100.0,0.0
0.0,2.0,1.0,108.9,1.0
0.0,3.0,14.0,107.1,0.0
0.0,2.0,4.0,80.0,1.0
0.0,3.0,5.0,90.0,1.0
0.0,2.0,12.0,105.3,0.0
0.0,1.0,11.0,80.0,0.0
0.0,2.0,25.0,142.2,0.0
0.0,3.0,5.0,131.4,0.0
0.0,2.0,24.0,95.0,0.0
0.0,2.0,1.0,111.0,1.0
0.0,3.0,6.0,85.0,0.0
0.0,4.0,24.0,130.95,1.0
0.0,2.0,18.0,101.5,0.0
0.0,1.0,28.0,82.0,0.0
0.0,2.0,13.0,94.5,0.0
0.0,1.0,28.0,109.8,1.0
0.0,4.0,10.0,72.25,1.0
0.0,2.0,6.0,55.72,0.0
0.0,1.0,17.0,158.4,1.0
0.0,4.0,30.0,69.0,0.0
0.0,3.0,13.0,105.0,0.0
0.0,3.0,29.0,219.6,1.0
0.0,3.0,8.0,44.8,0.0
0.0,1.0,26.0,120.0,0.0
0.0,2.0,25.0,100.0,1.0
0.0,1.0,7.0,109.0,0.0
2.0,2.0,19.0,115.68,0.0
0.0,2.0,16.0,75.0,0.0
0.0,2.0,17.0,134.1,0.0
0.0,1.0,29.0,124.1,0.0
0.0,2.0,17.0,214.75,0.0
0.0,2.0,31.0,75.0,0.0
0.0,2.0,23.0,72.25,0.0
0.0,0.0,7.0,80.0,0.0
0.0,1.0,20.0,139.0,0.0
0.0,1.0,28.0,66.0,0.0
0.0,3.0,31.0,115.5,0.0
1.0,1.0,8.0,195.5,0.0
0.0,0.0,23.0,115.0,1.0
0.0,1.0,18.0,84.0,0.0
0.0,1.0,16.0,107.8,0.0
0.0,3.0,13.0,105.0,0.0
0.0,3.0,8.0,78.0,0.0
0.0,2.0,24.0,90.0,0.0
0.0,1.0,9.0,105.3,1.0
0.0,3.0,25.0,80.3,0.0
0.0,0.0,8.0,129.0,0.0
0.0,2.0,24.0,115.0,1.0
0.0,0.0,11.0,125.1,0.0
0.0,1.0,27.0,103.0,0.0
0.0,0.0,1.0,125.1,0.0
0.0,5.0,17.0,96.17,1.0
0.0,2.0,25.0,185.0,0.0
0.0,0.0,12.0,69.74,0.0
2.0,3.0,9.0,172.55,1.0
0.0,3.0,28.0,95.0,0.0
1.0,2.0,9.0,166.35,0.0
0.0,1.0,18.0,108.0,0.0
0.0,3.0,21.0,102.0,0.0
0.0,2.0,13.0,203.73,0.0
0.0,5.0,17.0,78.69,1.0
0.0,3.0,3.0,79.2,1.0
0.0,2.0,16.0,76.5,0.0
0.0,2.0,3.0,100.0,1.0
0.0,4.0,14.0,88.4,0.0
0.0,4.0,6.0,110.0,1.0
0.0,2.0,28.0,109.8,1.0
0.0,1.0,3.0,78.3,0.0
0.0,2.0,1.0,101.5,1.0
0.0,4.0,28.0,80.75,0.0
0.0,2.0,25.0,104.0,0.0
0.0,3.0,15.0,51.19,0.0
1.0,1.0,5.0,150.0,1.0
0.0,2.0,12.0,127.8,1.0
0.0,1.0,17.0,115.0,0.0
0.0,1.0,5.0,156.0,0.0
0.0,2.0,23.0,130.9,1.0
0.0,3.0,4.0,116.1,1.0
0.0,0.0,11.0,71.69,0.0
1.0,3.0,24.0,98.5,0.0
0.0,3.0,13.0,94.5,0.0
